accident_count,deaths,risk_score,scenario_description,risk_multiplier
1316.0,136.0,107.97647017669802,Fim de semana à noite na BR-101,1.0210954828777825
1194.0,129.0,109.96817184106284,Fim de semana à noite na BR-116,1.0399303046625195
340.0,55.0,107.4610453233434,Fim de semana à noite na BR-153,1.0162212914112334
327.0,21.0,110.90851490360556,Fim de semana à noite na BR-40,1.0488227981099025
318.0,19.0,113.11575285574476,Fim de semana à noite na BR-381,1.0696958707235702
1915.0,130.0,107.63627007418907,Álcool envolvido durante a noite,1.0178783302205603
