highway,km_start,km_end,segment_id,accident_count,state,primary_city,deaths,injuries,center_latitude,center_longitude,avg_severity,top_cause,top_accident_type,top_weather,avg_hour,accidents_per_km,deaths_per_km,risk_score,danger_rank,risk_category,segment_label
386,370.0,380.0,BR386_km370,8,RS,TAQUARI,1,12,-29.53397920375,-51.6966722825,11.205357142857142,Reação tardia ou ineficiente do condutor,Colisão com objeto,Céu Claro,17.75,0.8,0.1,65.7319331751403,1917.0,alto,BR-386 km 370-380 (RS)
386,380.0,390.0,BR386_km380,11,RS,TABAI,0,13,-29.689051999090907,-51.70591054363637,4.924242424242424,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Céu Claro,14.636363636363637,1.1,0.0,51.77683729087926,2290.0,medio,BR-386 km 380-390 (RS)
386,390.0,400.0,BR386_km390,8,RS,TRIUNFO,1,12,-29.7355914025,-51.6019080025,10.0625,Retorno proibido,Atropelamento de Pedestre,Céu Claro,14.25,0.8,0.1,61.52331072642407,2031.0,alto,BR-386 km 390-400 (RS)
386,400.0,410.0,BR386_km400,10,RS,TRIUNFO,0,12,-29.777012778,-51.56032029399999,6.280952380952381,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Céu Claro,14.1,1.0,0.0,53.7145191160607,2235.0,medio,BR-386 km 400-410 (RS)
386,410.0,420.0,BR386_km410,19,RS,MONTENEGRO,1,34,-29.814458559473685,-51.46255450789474,9.849624060150376,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Céu Claro,13.789473684210526,1.9,0.1,94.38248030707688,1150.0,extremo,BR-386 km 410-420 (RS)
386,420.0,430.0,BR386_km420,12,RS,MONTENEGRO,0,11,-29.820542684166668,-51.365651712500004,5.944444444444444,Ausência de reação do condutor,Colisão traseira,Céu Claro,12.166666666666666,1.2,0.0,58.592239932270246,2104.0,medio,BR-386 km 420-430 (RS)
386,430.0,440.0,BR386_km430,41,RS,NOVA SANTA RITA,2,39,-29.853925281707316,-51.27034833756098,7.101626016260163,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Céu Claro,13.24390243902439,4.1,0.2,151.54904429758065,426.0,,BR-386 km 430-440 (RS)
386,440.0,450.0,BR386_km440,7,RS,CANOAS,0,6,-29.882950675714284,-51.23165683999999,4.809523809523809,Ausência de reação do condutor,Colisão transversal,Céu Claro,15.142857142857142,0.7,0.0,39.120528240841224,2659.0,baixo,BR-386 km 440-450 (RS)
392,0.0,10.0,BR392_km0,27,RS,RIO GRANDE,0,26,-32.03340488037037,-52.16422835777777,7.71604938271605,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Céu Claro,13.666666666666666,2.7,0.0,110.99320156903997,847.0,extremo,BR-392 km 0-10 (RS)
392,10.0,20.0,BR392_km10,16,RS,RIO GRANDE,0,15,-32.098236348125,-52.16301599125,7.366071428571429,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Céu Claro,12.3125,1.6,0.0,76.06129739647706,1618.0,alto,BR-392 km 10-20 (RS)
392,20.0,30.0,BR392_km20,11,RS,RIO GRANDE,0,6,-32.06949651181819,-52.25977170090909,2.7575757575757573,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Céu Claro,18.0,1.1,0.0,43.79799056518806,2462.0,medio,BR-392 km 20-30 (RS)
392,30.0,40.0,BR392_km30,5,RS,RIO GRANDE,0,5,-32.016141344,-52.290308752,4.333333333333333,Reação tardia ou ineficiente do condutor,Colisão traseira,Céu Claro,15.0,0.5,0.0,31.25000923887792,2828.5,baixo,BR-392 km 30-40 (RS)
392,40.0,50.0,BR392_km40,7,RS,RIO GRANDE,0,6,-31.924489534285716,-52.31333269857142,5.952380952380952,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Céu Claro,15.714285714285714,0.7,0.0,43.32915068955746,2468.0,medio,BR-392 km 40-50 (RS)
392,50.0,60.0,BR392_km50,12,RS,RIO GRANDE,0,11,-31.842724321666665,-52.32604099583333,5.277777777777778,Ingestão de álcool pelo condutor,Saída de leito carroçável,Céu Claro,15.916666666666666,1.2,0.0,56.13721017051911,2195.0,medio,BR-392 km 50-60 (RS)
392,60.0,70.0,BR392_km60,14,RS,PELOTAS,0,15,-31.74786757357143,-52.38490945428571,6.309523809523809,Ausência de reação do condutor,Saída de leito carroçável,Céu Claro,10.428571428571429,1.4,0.0,66.05358730727504,1905.0,alto,BR-392 km 60-70 (RS)
392,70.0,80.0,BR392_km70,9,RS,PELOTAS,0,6,-31.710608176666668,-52.40464603666666,3.3333333333333335,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Céu Claro,11.88888888888889,0.9,0.0,39.80131722624765,2656.0,baixo,BR-392 km 70-80 (RS)
392,80.0,90.0,BR392_km80,8,RS,PELOTAS,1,10,-31.6215647725,-52.4695857125,19.895833333333332,Ausência de reação do condutor,Colisão traseira,Céu Claro,13.125,0.8,0.1,97.73499971225331,1081.0,extremo,BR-392 km 80-90 (RS)
392,90.0,100.0,BR392_km90,11,RS,PELOTAS,0,7,-31.584074625454548,-52.51239646636363,8.181818181818182,Ausência de reação do condutor,Saída de leito carroçável,Céu Claro,12.181818181818182,1.1,0.0,63.77300544489049,1973.5,alto,BR-392 km 90-100 (RS)
